time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.119,0.16017,0.27681,9.80143
0.186,0.15957,0.27726,9.80143
0.244,0.15915,0.27715,9.80144
0.375,0.15891,0.27736,9.80144
0.416,0.15889,0.27760,9.80143
0.486,0.15844,0.27781,9.80143
0.599,0.15820,0.27792,9.80143
0.661,0.15801,0.27781,9.80144
0.714,0.15795,0.27819,9.80143
0.841,0.15749,0.27792,9.80145
0.891,0.15716,0.27832,9.80144
0.951,0.15642,0.27842,9.80145
1.071,0.15639,0.27877,9.80144
1.130,0.15618,0.27905,9.80144
1.199,0.15649,0.27886,9.80144
1.310,0.15620,0.27917,9.80143
1.375,0.15609,0.27914,9.80143
1.428,0.15559,0.27873,9.80145
1.555,0.15555,0.27875,9.80145
1.607,0.15566,0.27908,9.80144
1.683,0.15575,0.27900,9.80144
1.794,0.15525,0.27872,9.80146
1.856,0.15496,0.27813,9.80148
1.905,0.15550,0.27809,9.80147
2.033,0.15521,0.27804,9.80148
2.082,0.15551,0.27829,9.80147
2.164,0.15535,0.27803,9.80148
2.264,0.15530,0.27797,9.80148
2.335,0.15547,0.27799,9.80148
2.381,0.15617,0.27823,9.80146
2.509,0.15676,0.27882,9.80143
2.560,0.15648,0.27893,9.80143
2.625,0.15618,0.27917,9.80143
2.738,0.15631,0.27961,9.80142
2.798,0.15634,0.27980,9.80141
2.865,0.15656,0.28036,9.80139
3.002,0.15674,0.28034,9.80139
3.037,0.15657,0.28041,9.80139
3.104,0.15622,0.28085,9.80138
3.214,0.15638,0.28127,9.80137
3.274,0.15672,0.28190,9.80134
3.338,0.16123,0.28276,9.80125
3.464,0.16140,0.28855,9.80108
3.516,0.16174,0.28800,9.80109
3.575,0.16175,0.28646,9.80113
3.694,0.48392,0.32603,9.78928
3.751,0.75375,1.53961,9.65566
3.820,1.60263,3.06715,9.17576
3.932,0.87144,5.12552,8.31505
4.011,0.84548,6.91801,6.89903
4.051,0.69329,8.74385,4.38576
4.174,0.57243,9.77407,0.55709
4.235,0.08045,9.69333,-1.48433
4.288,-2.00627,9.59608,0.24619
4.411,1.08185,9.56393,1.87915
4.482,0.89910,9.31629,2.92725
4.526,-5.88215,7.19769,3.12473
4.650,-7.09358,5.57312,3.84602
4.712,-1.88763,8.98474,3.44698
4.774,3.92985,7.59010,4.80802
4.882,5.16133,7.92241,2.60126
4.950,0.10947,9.80088,-0.31810
5.002,-7.77147,5.96910,0.38012
5.200,-9.38480,1.97860,2.04477
5.241,-8.90876,-2.04646,3.55195
5.371,-8.63627,-3.66697,2.85283
5.421,-9.46636,-2.49975,-0.55638
5.480,-8.86331,-0.44587,-4.17293
5.598,-7.43519,-1.15628,-6.28899
5.675,-4.69783,-1.59083,-8.45991
5.717,-0.19196,0.49351,-9.79235
5.842,4.32597,4.90192,-7.30942
5.896,4.61471,8.31100,-2.40876
5.966,4.25450,8.47128,2.51138
6.075,4.96743,5.27905,6.60505
6.148,4.37633,3.94104,7.84132
6.194,-1.26665,6.48423,7.24712
6.328,-3.86511,4.42359,7.85259
6.378,-5.76124,3.61523,7.06461
6.436,-5.73510,5.17790,6.03890
6.553,-3.96383,7.65909,4.66871
6.611,-1.78046,8.78301,3.98236
6.688,0.32031,8.88375,4.14086
6.790,0.24620,8.42428,5.01411
6.881,0.16012,7.75259,6.00350
6.914,-0.05085,7.68554,6.09100
7.035,-0.20352,7.42285,6.40549
7.087,0.22062,6.16788,7.62095
7.170,0.91029,3.53138,9.10336
7.266,0.05662,2.43493,9.49938
7.337,-0.11790,1.98887,9.60213
7.395,-0.32768,1.51425,9.68349
7.507,-0.57797,0.63205,9.76918
7.567,0.19562,0.35960,9.79810
7.635,0.13768,0.36841,9.79876
7.742,0.13825,0.36844,9.79875
7.810,0.13872,0.36856,9.79874
7.860,0.13916,0.36803,9.79875
7.995,0.13925,0.36816,9.79875
8.051,0.13915,0.36836,9.79874
8.099,0.13902,0.36869,9.79873
8.227,0.13931,0.36872,9.79873
8.279,0.13917,0.36855,9.79873
8.344,0.13915,0.36904,9.79872
8.479,0.13941,0.36911,9.79871
8.522,0.13956,0.36918,9.79871
8.579,0.13971,0.36950,9.79869
8.700,0.13936,0.36960,9.79869
8.773,0.13897,0.36984,9.79869
8.815,0.13884,0.36988,9.79869
8.848,-1.59959,-0.66718,9.65228
8.951,-1.28013,-0.72481,9.69569
9.091,-0.63164,-0.62113,9.76656
9.180,-0.39406,-0.14973,9.79759
9.250,-0.35844,0.01671,9.80008
9.329,-0.26371,0.16421,9.80173
9.408,-0.22618,0.25737,9.80066
9.487,-0.19499,0.47551,9.79317
9.577,-0.27568,0.68284,9.77896
9.652,-0.34473,0.93103,9.75627
9.729,-0.17033,1.19086,9.73259
9.804,-0.16427,1.27704,9.72176
9.884,-0.15489,1.30410,9.71832
9.969,-0.21681,1.40296,9.70335
10.043,-0.29190,1.53772,9.68094
10.130,-0.34426,1.61501,9.66662
10.208,-0.33995,1.76163,9.64114
10.286,-0.25616,2.11053,9.57342
10.362,-0.35406,2.49374,9.47767
10.440,0.06319,3.35929,9.21312
10.530,-0.19012,3.68807,9.08473
10.616,-0.70020,3.82164,9.00418
10.683,-1.57030,3.62385,8.97620
10.759,-2.68052,3.60573,8.71688
10.837,-1.33003,2.51806,9.38407
10.917,-2.23483,2.04611,9.32681
10.999,-0.33697,2.26643,9.53521
11.084,1.21073,2.99269,9.26004
