time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.120,-0.00235,0.02795,0.15554
0.186,0.05497,0.00007,0.12474
0.244,0.05851,-0.09776,0.12601
0.375,-0.04652,0.00092,0.12145
0.416,0.02230,0.00761,0.12232
0.486,0.04917,0.06121,0.11095
0.599,0.04763,0.01351,0.11388
0.661,0.02778,-0.03312,0.10683
0.714,0.01462,0.00390,0.10732
0.841,0.01385,0.01109,0.11652
0.891,0.00420,-0.00077,0.12290
0.951,-0.02707,0.04622,0.13059
1.071,0.00344,-0.01471,0.12579
1.130,0.00273,-0.01041,0.12137
1.199,0.01253,-0.02126,0.11656
1.311,0.03662,0.01973,0.09904
1.375,0.04290,-0.00162,0.10678
1.428,0.04266,-0.00395,0.11363
1.555,0.01751,0.01511,0.11665
1.607,0.01188,0.00003,0.11281
1.683,0.00898,-0.01984,0.09688
1.794,-0.00378,-0.01554,0.11668
1.856,0.01931,-0.00222,0.11718
1.905,0.02662,0.00335,0.12496
2.033,0.04335,0.00073,0.11437
2.082,0.00457,0.01338,0.11713
2.164,0.01459,-0.00939,0.11184
2.264,0.02606,0.00215,0.11861
2.335,0.01898,0.01150,0.10139
2.381,0.00325,-0.00001,0.10530
2.509,0.00772,-0.01386,0.10074
2.560,0.01481,-0.01065,0.11088
2.625,0.00855,-0.01149,0.10553
2.738,-0.01076,-0.00091,0.11712
2.798,0.04113,-0.01963,0.10105
2.865,0.01955,0.00315,0.11180
3.002,-0.00335,-0.00482,0.11502
3.037,0.04459,0.02047,0.11021
3.104,0.05216,0.00934,0.11289
3.214,0.02091,-0.01858,0.10394
3.274,-0.00965,0.01363,0.11447
3.338,-0.10154,-0.41484,0.14388
3.464,1.68443,2.27259,0.17231
3.516,0.01664,0.00241,0.10629
3.575,-2.88584,-0.42339,0.20044
3.694,0.43200,-0.21245,3.19152
3.752,-0.59220,0.26037,-0.39850
3.820,1.41311,-1.35855,-1.88269
3.932,0.85704,-0.99553,-0.80032
4.011,-0.10756,-0.38004,-0.24445
4.051,0.54840,1.99358,0.27109
4.174,-0.02596,2.17150,0.78577
4.235,-0.28173,-0.06253,0.11757
4.288,-1.28714,4.50493,-2.11265
4.411,-3.01144,-3.83077,-0.56626
4.482,-4.93612,-9.00192,1.43630
4.526,-5.78498,-0.22175,-2.37502
4.650,-1.24924,3.73386,-3.71678
4.712,0.37836,-6.90259,0.25757
4.774,1.43733,-7.25834,1.51291
4.882,-0.82775,2.36653,-2.98462
4.950,-9.58163,5.75508,-2.32381
5.002,-5.29687,7.99278,-0.01576
5.200,2.96678,5.59721,-1.23228
5.241,-0.36187,9.25155,-1.45833
5.371,3.24718,6.16298,-2.13041
5.421,3.07958,-1.98324,-0.12748
5.480,1.22447,-2.88226,-0.84976
5.598,4.10457,-5.40637,-0.66100
5.675,3.29513,2.90048,-1.48987
5.717,-0.84494,5.05413,-6.36739
5.842,-6.13515,5.41541,-7.73936
5.896,-1.62163,2.10104,-7.59590
5.966,-1.23817,3.68687,-11.35133
6.075,5.85236,5.84403,-9.46719
6.148,15.47671,-4.14634,1.82589
6.194,10.87834,-0.81105,6.17629
6.328,13.52518,-7.48699,1.54036
6.378,1.65294,-8.05041,-9.35783
6.436,-5.83034,1.96353,-13.09526
6.553,1.45040,2.91879,-4.70591
6.611,7.99024,3.16124,8.14113
6.688,1.13568,4.33421,3.72097
6.791,-3.15756,-1.26330,-1.52690
6.881,1.71698,2.71373,-1.68778
6.914,0.34040,0.86007,0.08213
7.035,0.98187,-0.31274,0.87337
7.087,-0.98024,-4.31847,-3.49886
7.170,-0.18173,1.97417,6.72573
7.268,1.22582,-0.37342,6.84240
7.337,1.40368,-0.88476,-4.30586
7.395,0.83490,0.02341,-3.11136
