time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.120,-0.91143,-1.63285,115.42972
0.186,-0.90789,-1.63547,115.51112
0.244,-0.90547,-1.63483,115.58659
0.375,-0.90406,-1.63606,115.66947
0.416,-0.90395,-1.63742,115.75764
0.486,-0.90132,-1.63864,115.84197
0.599,-0.89992,-1.63931,115.92654
0.661,-0.89881,-1.63864,116.00807
0.714,-0.89847,-1.64086,116.09273
0.841,-0.89577,-1.63928,116.17906
0.891,-0.89384,-1.64161,116.27081
0.952,-0.88952,-1.64219,116.36108
1.071,-0.88935,-1.64422,116.44974
1.130,-0.88811,-1.64586,116.53574
1.199,-0.88992,-1.64476,116.62574
1.311,-0.88824,-1.64659,116.71472
1.375,-0.88761,-1.64639,116.80736
1.428,-0.88470,-1.64400,116.90101
1.555,-0.88446,-1.64413,116.99326
1.607,-0.88511,-1.64602,117.08769
1.683,-0.88563,-1.64557,117.17889
1.794,-0.88273,-1.64392,117.27239
1.856,-0.88102,-1.64050,117.36709
1.905,-0.88417,-1.64024,117.46689
2.033,-0.88251,-1.63991,117.56979
2.082,-0.88424,-1.64142,117.67286
2.165,-0.88330,-1.63984,117.77585
2.264,-0.88303,-1.63954,117.86919
2.335,-0.88401,-1.63963,117.96841
2.392,-0.88813,-1.64100,118.06776
2.509,-0.89155,-1.64447,118.17592
2.560,-0.88992,-1.64511,118.28069
2.625,-0.88819,-1.64649,118.38229
2.740,-0.88896,-1.64906,118.48280
2.798,-0.88913,-1.65017,118.58765
2.865,-0.89041,-1.65345,118.68922
3.002,-0.89146,-1.65332,118.79436
3.037,-0.89048,-1.65374,118.90015
3.104,-0.88843,-1.65631,119.00543
3.214,-0.88941,-1.65876,119.11800
3.277,-0.89139,-1.66239,119.22542
3.338,-0.91779,-1.66745,119.32594
3.464,-0.91455,-1.69906,119.41079
3.516,-0.91654,-1.69582,119.57219
3.575,-0.92575,-1.69144,119.10606
3.694,-2.81145,-1.92396,115.47344
3.752,-4.44724,-9.05345,108.89124
3.820,-9.89430,-18.24912,99.01337
3.932,-5.97264,-31.53563,90.61269
4.011,-6.97789,-44.89082,85.08798
4.051,-8.97466,-63.10424,79.36404
4.174,-45.94803,-85.35055,39.66981
4.235,-176.95184,-81.25619,-90.67844
4.288,83.12774,-78.09762,177.60262
4.411,-29.97709,-77.25039,47.88086
4.482,-17.09236,-71.83053,58.80570
4.526,62.06068,-47.21699,166.37302
4.651,61.56386,-34.62115,-175.59834
4.712,28.75988,-66.39068,125.36244
4.774,-39.28781,-50.73265,31.43969
4.882,-63.29546,-53.89550,-1.24428
4.950,-161.44504,-88.01219,-74.55373
5.004,87.22585,-37.47711,-159.48674
5.200,77.55786,-11.35405,-146.66608
5.241,68.11729,12.33390,-147.82242
5.371,71.56924,22.24819,-148.39455
5.421,93.29357,15.08292,-162.06441
5.480,115.21732,2.69142,-165.62910
5.598,130.24944,6.78510,-158.50240
5.675,150.94380,9.41341,-151.65692
5.719,178.86168,-2.80744,-149.51723
5.842,-149.42049,-29.91943,-135.26448
5.896,-117.68630,-57.89627,-103.88564
5.966,-59.57493,-59.79398,-35.86838
6.075,-36.95624,-32.64680,12.83048
6.148,-29.11614,-23.75937,54.92712
6.194,10.01763,-41.37506,121.19056
6.328,26.28308,-26.77241,139.84918
6.378,39.27588,-21.60113,132.23595
6.436,43.61425,-31.85983,116.76843
6.553,40.45674,-51.34142,117.80131
6.611,24.26428,-63.58501,111.70618
6.688,-4.25812,-64.97773,83.71407
6.791,-2.66995,-59.23783,87.78659
6.881,-1.40275,-52.25373,96.69870
6.914,0.64887,-51.58621,109.49449
7.035,2.03042,-49.14376,116.82634
7.087,-1.46220,-38.90181,121.96248
7.170,-5.54669,-21.02603,126.96899
7.268,-0.18777,-14.29681,130.99513
7.337,0.85560,-11.62027,133.85744
7.395,2.08842,-8.79600,138.40910
7.507,3.53253,-3.60136,144.18079
7.567,-0.99665,-1.99495,150.02678
7.635,-0.65461,-2.04402,153.31604
7.742,-0.65442,-2.04258,156.41023
7.810,-0.65320,-2.04204,159.51741
7.860,-0.65155,-2.03800,162.48419
7.995,-0.64765,-2.03800,165.45375
8.051,-0.64239,-2.03843,168.39211
8.099,-0.63681,-2.03948,171.31798
8.227,-0.63367,-2.03868,174.19073
8.279,-0.62817,-2.03658,177.00418
8.344,-0.62343,-2.03817,179.76859
8.479,-0.62055,-2.03697,-177.51454
8.522,-0.61719,-2.03560,-174.83713
8.579,-0.61412,-2.03547,-172.20528
8.700,-0.60841,-2.03384,-169.63213
8.773,-0.60283,-2.03295,-167.10167
8.815,-0.59908,-2.03075,-164.61861
8.850,9.65824,4.30107,38.38636
8.951,7.76515,4.64161,39.07680
9.091,3.93410,4.04022,40.48367
9.180,2.53586,1.28401,40.56776
9.250,2.32549,0.31245,40.77260
9.329,1.77159,-0.54918,40.82246
9.409,1.55274,-1.09370,40.79686
9.487,1.37214,-2.36964,40.69353
9.577,1.84874,-3.58451,40.37300
9.652,2.25818,-5.04015,40.28545
9.729,1.24171,-6.56946,39.74055
9.805,1.21073,-7.07954,39.21223
9.886,1.15685,-7.23955,39.07166
9.969,1.52471,-7.82330,38.95373
10.043,1.97557,-8.62173,38.47077
10.130,2.29016,-9.08024,38.20093
10.208,2.27136,-9.95035,38.09166
10.286,1.78694,-12.03020,38.01658
10.362,2.40194,-14.33734,37.15182
10.440,-0.12711,-19.63569,37.69829
10.530,1.46522,-21.69273,38.02280
10.616,4.71467,-22.53773,37.95140
10.683,10.17475,-21.28782,39.26311
10.760,17.32950,-21.16589,41.28342
10.837,8.24652,-14.44986,47.55148
10.917,13.67925,-11.62601,43.91928
10.999,2.21801,-12.94039,45.38378
11.084,-7.24981,-17.38605,47.66610
11.157,-14.51818,-19.46769,48.47753
11.234,-21.53759,-19.75513,49.19749
11.314,-25.05782,-18.65199,50.80721
11.395,-30.02831,-20.24282,47.93998
11.475,-33.10684,-18.18958,46.87803
11.561,-38.06929,-17.73351,45.63605
11.640,-38.23646,-18.97441,44.65576
11.712,-36.30314,-17.89199,48.60420
11.791,-35.87497,-16.81746,52.53998
11.869,-34.57887,-16.03753,54.91107
198.146,-14.12013,-8.13225,-155.57588
198.218,-12.81475,-5.91128,-156.89417
198.264,-9.21554,-4.88865,-156.72417
198.297,-5.89414,-5.14164,-155.00926
198.377,-6.20479,-7.29026,-155.71741
