time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.069,0.07813,0.93971,9.76121
0.152,-0.30968,1.08148,9.74191
0.228,-0.17463,0.73699,9.77736
0.315,0.15312,0.57890,9.78835
0.390,0.17245,0.83195,9.76978
0.465,0.16710,1.08315,9.74522
0.546,1.46785,1.39930,9.59467
0.625,2.09775,1.45092,9.46914
0.705,1.81564,1.47927,9.52290
0.783,1.74576,1.79105,9.48234
0.869,2.42968,1.73944,9.34031
0.946,2.30775,1.80745,9.35830
1.023,2.14967,1.75567,9.40569
1.106,2.26304,1.85443,9.36003
1.181,2.16166,1.95493,9.36354
1.266,1.90969,2.21492,9.36043
1.340,1.94546,2.50536,9.27948
1.423,2.03995,2.53423,9.25130
1.498,1.90356,2.58647,9.26590
1.582,1.85078,2.61593,9.26833
1.662,1.79804,2.64925,9.26925
1.755,1.78605,2.64288,9.27338
1.817,1.73893,2.66940,9.27474
1.909,1.72377,2.71569,9.26413
1.978,1.70896,2.72837,9.26314
2.054,1.70163,2.75713,9.25597
2.134,1.70121,2.78461,9.24782
2.217,1.75158,2.78728,9.23761
2.302,1.72616,2.77557,9.24591
2.383,1.74350,2.78382,9.24018
2.455,1.69089,2.80369,9.24395
2.539,1.65679,2.78183,9.25672
2.609,1.66110,2.70007,9.28013
2.696,1.74884,2.63251,9.28342
2.768,1.65539,2.57360,9.31701
2.853,1.56536,2.36628,9.38726
2.927,1.57744,2.07915,9.45300
3.009,1.54553,2.07600,9.45896
3.091,1.56442,2.28263,9.40811
3.175,1.57177,2.31725,9.39842
3.251,1.63468,2.34290,9.38131
3.326,1.66908,2.42375,9.35468
3.405,1.64926,2.69045,9.28503
3.487,2.45256,4.10648,8.56108
3.562,3.51151,5.25648,7.49727
3.651,5.20612,5.92025,5.83244
3.722,6.01903,6.07365,4.80130
3.819,6.40118,6.24578,4.02313
3.880,6.60118,6.59557,3.01551
3.965,5.00430,7.32249,4.18433
4.051,2.60088,6.77825,6.59250
4.124,1.89738,5.50400,7.89154
4.200,2.06101,4.60470,8.40948
4.281,2.47473,4.57244,8.31498
4.356,2.46318,4.55534,8.32778
4.441,2.26207,4.63557,8.34056
4.515,2.10102,4.95812,8.19592
4.600,2.08442,4.87642,8.24901
4.679,1.86689,4.83183,8.32698
4.762,2.03487,4.62771,8.40321
4.833,2.02899,4.60471,8.41726
4.916,1.71246,4.67010,8.45151
4.999,1.56474,4.67706,8.47627
5.082,1.48016,4.52329,8.57434
5.152,0.87094,4.55221,8.64229
5.234,0.69453,4.60212,8.63183
5.316,0.15999,4.47571,8.72427
5.394,-0.07775,4.10668,8.90503
5.471,0.00408,3.86133,9.01446
5.556,0.01131,3.69356,9.08448
5.632,-0.01413,3.56329,9.13636
5.715,0.12613,3.52176,9.15160
5.791,0.15568,3.45696,9.17581
5.873,0.16517,3.36007,9.21157
5.951,0.29622,3.34897,9.21233
6.033,0.30772,3.30020,9.22954
6.103,0.27646,3.29995,9.23062
6.190,0.29862,3.37276,9.20357
6.262,0.39706,3.42020,9.18232
6.359,0.57275,3.37832,9.18854
6.420,0.89305,3.30033,9.19134
6.510,1.08086,3.30556,9.16926
6.582,1.16801,3.34800,9.14314
6.670,1.27353,3.40872,9.10654
6.739,1.32240,3.44134,9.08729
6.830,1.30626,3.49505,9.06911
6.897,1.23649,3.55202,9.05674
6.991,1.17864,3.59021,9.04940
7.055,1.08330,3.60285,9.05629
7.144,0.90058,3.66252,9.05236
7.223,0.74795,3.72551,9.04055
7.305,0.56214,3.73356,9.05068
7.373,0.45930,3.75538,9.04746
7.465,0.36948,3.80863,9.02930
7.536,0.31048,3.79830,9.03587
7.632,0.31593,3.77318,9.04620
7.696,0.31680,3.78840,9.03980
7.777,0.36357,3.79360,9.03586
7.857,0.38146,3.80049,9.03223
7.947,0.36895,3.86404,9.00574
8.010,0.34774,3.92486,8.98025
8.094,0.42343,4.24158,8.83177
8.168,0.55643,4.47965,8.70595
8.257,0.61659,4.56060,8.65974
8.326,0.61419,4.52394,8.67912
8.485,0.65484,4.54098,8.66724
8.574,0.67540,4.51696,8.67821
8.644,0.69444,4.56544,8.65129
8.729,0.68997,4.57172,8.64833
8.803,0.89566,4.58562,8.62208
8.903,0.62093,4.41538,8.73437
8.961,0.57863,4.37238,8.75888
9.047,0.65832,4.40896,8.73488
9.131,0.70507,4.39366,8.73894
9.205,0.67822,4.37243,8.75170
9.287,0.66292,4.39855,8.73977
9.366,0.58139,4.41058,8.73952
9.438,0.62139,4.43885,8.72243
9.531,0.56817,4.41483,8.73824
9.601,0.60027,4.41060,8.73823
9.680,0.45062,4.30513,8.79961
9.756,0.37881,4.28428,8.81316
9.845,0.59025,4.43600,8.72605
9.916,0.45031,4.23711,8.83258
10.000,0.50129,3.94360,8.96477
10.076,2.06412,3.47092,8.93658
10.170,5.60127,2.47364,7.66011
10.239,5.32671,-2.19175,7.93680
10.319,4.54379,-5.46473,6.75729
277.841,1.42189,2.26747,9.43436
277.920,1.47853,2.45306,9.37906
277.999,0.51289,2.00732,9.58530
278.088,0.00923,2.13810,9.57073
278.158,-0.41791,2.06993,9.57659
278.240,-0.28534,3.09526,9.30099
278.316,0.02005,3.80159,9.03979
278.398,0.18066,3.79367,9.04134
278.480,0.57035,3.39180,9.18372
278.563,-0.26383,2.42403,9.49868
278.641,-0.54410,1.61535,9.65738
278.717,-1.06934,1.26642,9.66556
278.797,-1.23753,1.11108,9.66460
278.877,-0.96432,1.72341,9.60575
278.954,-0.89141,2.52180,9.43484
279.034,-0.70219,2.80386,9.37100
279.114,-0.29858,2.84754,9.37938
279.194,-0.11548,2.48712,9.48532
279.272,-0.42091,2.48963,9.47602
279.367,-0.37260,2.58568,9.45229
279.430,-0.10794,2.72076,9.42105
279.509,-0.00107,2.67104,9.43588
279.588,0.17688,2.17836,9.56001
279.674,0.19427,2.32554,9.52494
279.745,-0.47744,2.65220,9.42912
279.826,-0.94154,3.48995,9.11615
279.904,-1.34646,3.79049,8.94369
279.988,-1.11681,3.86757,8.94232
280.063,-0.44162,3.55488,9.12897
280.143,0.07715,2.86725,9.37781
280.222,0.12616,2.61341,9.45117
280.304,-0.38190,2.50302,9.47414
280.381,-0.67134,2.39848,9.48509
280.463,-0.64274,2.19528,9.53614
280.540,-0.50401,2.31780,9.51547
280.627,-0.50082,2.34137,9.50987
280.698,-0.43492,2.67086,9.42591
280.780,-0.35277,2.58883,9.45219
280.857,-0.25682,2.31276,9.52657
280.939,-0.52833,2.43498,9.48484
281.016,-0.43605,3.06053,9.30663
281.096,-0.62362,3.06024,9.29604
281.175,-1.15864,3.25296,9.17857
281.258,-0.98824,3.24288,9.20204
281.334,-1.16058,3.00185,9.26350
281.420,-1.33476,3.08545,9.21243
281.494,-1.14906,2.98837,9.26929
281.580,-1.03211,3.24896,9.19508
281.652,-0.93762,3.29347,9.18936
281.737,-0.55565,3.47444,9.15368
281.810,-0.14104,3.30407,9.23220
281.896,0.25723,3.31159,9.22700
281.969,0.12917,3.08005,9.30951
282.051,-0.07888,2.79014,9.40103
282.128,-0.07178,2.54436,9.47056
282.209,0.00170,1.90369,9.62010
282.287,0.11495,1.95922,9.60826
282.367,-0.15967,2.12499,9.57232
282.450,-0.95111,2.08691,9.53470
282.525,-1.30438,1.27751,9.63519
282.606,-1.07142,1.29095,9.66209
282.685,-0.81792,1.22690,9.69516
282.764,-0.42721,0.99397,9.74679
282.846,-0.10840,0.89774,9.76487
282.924,0.08142,-0.32304,9.80099
283.004,0.27192,-0.17702,9.80128
283.083,0.21659,0.69342,9.77971
283.169,0.22380,2.36870,9.51365
283.239,-0.71500,2.00697,9.57242
283.321,-1.13638,1.65102,9.59964
283.398,-0.48363,1.40944,9.69278
283.481,-0.69319,0.81599,9.74803
283.557,-0.32186,0.47192,9.79000
283.640,0.91492,0.67452,9.74055
283.717,1.87420,0.96323,9.57758
283.798,1.56683,0.34136,9.67465
283.880,0.44245,0.63876,9.77582
283.954,-0.21525,0.65692,9.78225
287.024,0.04509,2.60357,9.45462
287.109,0.04974,2.81402,9.39410
287.186,0.04107,2.92311,9.36077
287.271,0.28658,3.10534,9.29759
287.344,0.28166,3.05187,9.31542
287.427,0.30938,3.15610,9.27975
287.508,0.36046,3.10678,9.29454
287.587,0.34354,2.93120,9.35203
287.664,0.24060,3.03239,9.32294
287.755,0.07590,3.07295,9.31244
287.821,0.05977,3.07035,9.31342
287.913,-0.00553,2.97828,9.34346
287.981,0.10059,3.42604,9.18817
288.060,0.33341,3.36593,9.20487
288.139,0.31026,3.52462,9.14610
288.233,0.29836,3.79663,9.03698
288.301,0.37513,4.07928,8.91006
288.394,0.42771,3.89356,8.99042
288.457,0.45764,3.68954,9.07459
288.542,0.49153,3.76019,9.04377
288.624,0.32067,3.78615,9.04061
288.707,0.39910,3.67593,9.08288
288.804,0.26567,3.76514,9.05116
288.875,-0.06172,3.47006,9.17198
288.935,-0.01268,3.26975,9.24548
289.016,0.39100,3.16763,9.27273
289.098,0.32405,3.45462,9.17229
289.186,0.47714,3.17390,9.26656
289.256,0.42648,3.17427,9.26890
289.336,0.18408,2.99133,9.33747
289.409,0.23107,2.80496,9.39410
289.494,0.37971,2.85498,9.37418
289.573,0.47264,3.24259,9.24298
289.655,0.63055,3.53643,9.12504
289.732,0.77328,3.54290,9.11154
289.813,0.83160,3.94801,8.93824
289.891,0.76965,4.14190,8.85566
289.975,0.40427,4.10347,8.89767
290.044,0.22919,3.91482,8.98844
290.128,0.15638,3.97398,8.96401
290.203,0.23330,3.80005,9.03745
290.286,0.30880,3.70993,9.07256
290.363,0.42374,3.50004,9.15099
290.451,0.55065,3.10691,9.28516
290.522,0.40769,2.00812,9.59018
290.605,0.21580,1.25460,9.72367
290.683,0.25296,1.59253,9.67317
290.761,0.07264,1.37128,9.71003
290.844,-0.02498,1.31460,9.71811
290.928,-0.33578,1.17077,9.73072
291.000,-0.43395,0.71195,9.77114
291.083,-0.28448,0.29692,9.79803
291.158,-0.00366,0.76717,9.77660
291.243,0.03324,1.62591,9.67087
291.314,0.50198,1.40950,9.69184
291.401,0.45163,1.70436,9.64684
291.477,0.49939,1.87242,9.61328
291.568,0.71369,1.95596,9.58307
291.635,0.87708,1.98340,9.56385
291.742,0.92879,2.29038,9.49010
291.791,0.90579,2.63628,9.40212
291.878,0.87329,2.61377,9.41148
291.957,0.75393,2.84640,9.35414
292.043,0.54392,3.05331,9.30333
292.109,0.31808,3.02200,9.32399
292.203,-0.02300,3.13116,9.29331
292.267,0.00755,3.54768,9.14245
292.353,0.19814,3.27868,9.24020
292.427,0.29493,3.10612,9.29706
292.509,0.26870,3.17183,9.27565
292.586,0.23109,3.18311,9.27280
292.670,0.35611,3.10497,9.29531
292.745,0.39108,2.98264,9.33388
292.827,0.52703,3.09358,9.29098
292.903,0.30792,2.99247,9.33385
292.998,0.21897,2.96573,9.34489
293.064,0.00701,2.99991,9.33654
293.148,-0.14273,2.96946,9.34518
293.221,-0.32255,2.76490,9.40328
293.316,-0.27193,2.73316,9.41415
293.384,-0.28235,2.75959,9.40613
293.474,-0.10853,2.52887,9.47436
293.547,-0.00018,2.67998,9.43335
293.630,0.07126,2.71756,9.42232
293.698,0.36318,3.01119,9.32584
293.782,0.65720,3.09401,9.28254
293.856,0.78080,3.22677,9.22760
293.942,0.79975,3.15591,9.25046
294.017,0.88525,3.09548,9.26308
294.099,0.94276,3.38481,9.15558
294.180,0.90743,3.60249,9.07574
294.264,0.79263,3.64112,9.07107
294.332,0.68605,3.73794,9.04033
294.418,0.86154,3.65149,9.06061
294.491,1.10769,3.66430,9.02864
294.579,1.10420,3.56597,9.06835
294.653,1.21306,3.55950,9.05698
294.745,1.43484,3.59430,9.01070
294.809,1.69923,3.52654,8.99147
294.892,1.94608,3.43871,8.97543
294.968,2.03474,3.65755,8.86863
