time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.069,0.07540,-0.38193,0.94843
0.152,-0.54327,-0.04082,-2.62598
0.228,0.30698,-0.16124,-1.27610
0.315,0.33595,-0.33709,2.35240
0.390,0.06577,0.15854,1.38788
0.465,-0.11082,-0.05248,1.65130
0.546,-2.07536,0.63760,-3.20140
0.625,0.56463,-0.51507,-0.31295
0.705,1.75494,-1.01247,2.03475
0.783,-5.62236,2.93591,-2.24257
0.869,-1.34151,0.64707,0.65998
0.946,0.27387,-0.11656,0.41378
1.023,0.32549,0.19538,-0.50096
1.106,0.02374,0.06827,-0.17018
1.181,0.07140,-0.47426,1.22515
1.266,-0.20379,-0.04412,0.96858
1.340,-0.33040,0.04216,-0.85360
1.423,0.53545,-0.30402,-0.43439
1.498,0.45070,-0.04424,-0.08391
1.582,0.80351,-0.05540,0.34179
1.662,0.08281,-0.11763,0.07083
1.755,-0.21800,-0.25186,0.06718
1.817,-0.32072,-0.35725,0.01965
1.909,-0.09913,-0.12295,-0.29110
1.978,0.08666,-0.08399,-0.09378
2.054,0.00220,-0.15141,0.03365
2.134,0.03718,-0.10841,-0.18920
2.217,0.18638,-0.15691,0.11983
2.302,0.09474,-0.10127,0.21246
2.383,0.28924,-0.06969,0.27203
2.455,0.15146,-0.13081,-0.58428
2.539,0.15254,-0.03313,-0.26920
2.609,0.04254,-0.17703,0.65981
2.696,0.12759,-0.10816,0.74833
2.768,-0.09035,0.07586,-0.97394
2.853,0.19901,-0.03272,0.00320
2.928,-0.30418,0.14276,2.38058
3.009,0.14449,0.56982,-0.05483
3.091,0.36124,-0.64943,-0.65418
3.175,0.00895,-0.26859,0.78139
3.251,0.14014,-0.20198,0.41725
3.326,0.68489,-0.38382,0.62730
3.405,-2.31619,-1.21676,4.42989
3.487,-1.62340,-1.54118,0.79366
3.562,0.82883,-2.73036,0.02733
3.651,4.61284,-1.64713,-4.02700
3.722,-0.15340,3.52266,3.55878
3.819,-2.88745,3.89430,4.74592
3.880,4.45759,0.07579,-3.76960
3.965,2.21523,-1.46959,-8.99589
4.051,-0.52115,-2.34836,-2.95434
4.124,-1.69234,-1.83264,1.28378
4.200,-2.72228,-1.80358,4.42132
4.281,0.88551,-0.96526,0.45637
4.356,-0.01316,-1.60127,-2.25543
4.441,2.81462,-0.55431,1.37874
4.515,0.62352,-0.21305,-0.03010
4.600,0.92535,0.56319,0.26841
4.679,0.11063,1.13474,-1.07278
4.762,-0.39222,0.59245,0.11599
4.833,-0.66921,0.39932,-0.29546
4.916,-1.64268,-0.14411,-0.46091
4.999,-1.32065,0.18780,-1.10461
