time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.069,-0.25332,-5.63427,107.65764
0.152,2.02569,-6.46795,107.40099
0.228,1.22716,-4.44696,107.24166
0.315,-0.69218,-3.52069,107.38608
0.390,-0.80584,-5.00156,107.79729
0.466,-0.77353,-6.47193,109.02552
0.551,-8.48558,-8.32963,110.26015
0.625,-12.27956,-8.63540,109.96201
0.705,-10.58234,-8.80246,110.08374
0.783,-10.21450,-10.64130,112.30532
0.869,-14.36404,-10.33370,112.53144
0.946,-13.63587,-10.73862,112.28897
1.023,-12.65774,-10.43182,112.04955
1.106,-13.37573,-11.01937,111.91576
1.181,-12.78258,-11.61757,112.02475
1.266,-11.31294,-13.17228,111.99737
1.340,-11.62152,-14.92175,111.70570
1.423,-12.21662,-15.09782,111.28679
1.498,-11.39051,-15.41378,111.33939
1.582,-11.07342,-15.59130,111.59824
1.662,-10.75694,-15.79108,112.22688
1.755,-10.67929,-15.74966,112.96170
1.817,-10.39528,-15.90818,113.61093
1.909,-10.31576,-16.18852,113.86196
1.978,-10.22771,-16.26468,114.11852
2.054,-10.19088,-16.43842,114.44817
2.134,-10.19661,-16.60465,114.73522
2.217,-10.50911,-16.61965,115.07018
2.302,-10.34705,-16.54715,115.37890
2.383,-10.45680,-16.59638,115.63229
2.455,-10.13668,-16.71653,115.89137
2.539,-9.91816,-16.58258,116.07457
2.609,-9.91852,-16.08322,116.55065
2.696,-10.43778,-15.66972,117.41255
2.770,-9.84216,-15.30749,118.75396
2.853,-9.23350,-14.05005,120.22834
2.928,-9.24004,-12.32320,121.32523
3.009,-9.04656,-12.30546,121.04324
3.091,-9.20757,-13.54601,120.45557
3.175,-9.26124,-13.75595,119.97820
3.251,-9.65146,-13.91029,119.96223
3.326,-9.88235,-14.39594,120.29593
3.405,-9.83686,-16.01143,119.95184
3.487,-15.75966,-24.86049,114.13688
3.562,-24.87783,-32.55005,104.63919
3.651,-41.56089,-37.30789,92.73422
3.722,-51.23749,-38.44793,89.91708
3.819,-57.67615,-39.74767,86.93549
3.880,-65.31549,-42.47353,76.46139
3.965,-49.91408,-48.49874,83.55765
4.051,-21.26021,-43.84683,109.15433
4.124,-13.26859,-34.21056,123.02029
4.202,-13.53103,-28.05843,127.02602
4.281,-16.35121,-27.82910,126.64726
4.358,-16.25333,-27.71154,128.01340
4.441,-14.94969,-28.24303,127.75310
4.515,-14.14770,-30.39467,130.37357
4.600,-13.95058,-29.82878,134.43974
4.679,-12.41208,-29.52109,136.47948
4.762,-13.39088,-28.15213,138.67372
4.834,-13.33224,-27.99276,140.65456
4.916,-11.23402,-28.42071,142.32469
4.999,-10.23923,-28.46429,143.11441
5.082,-9.57627,-27.44783,142.86288
5.152,-5.53640,-27.64140,142.06184
5.234,-4.39811,-27.97667,140.76802
5.316,-0.85035,-27.14008,141.85655
5.394,0.69653,-24.74267,141.62155
5.471,0.16818,-23.17636,140.82317
5.556,0.12130,-22.11469,140.65775
5.632,0.28001,-21.29440,140.96431
5.715,-0.59864,-21.03360,141.15485
5.792,-0.78156,-20.62805,141.29826
5.874,-0.83760,-20.02356,141.54860
5.951,-1.65229,-19.95393,141.76868
6.033,-1.72079,-19.64942,142.29224
6.115,-1.52695,-19.64619,142.82811
6.190,-1.66953,-20.09698,143.34613
6.262,-2.28682,-20.39239,143.36662
6.359,-3.37778,-20.13331,142.79933
6.420,-5.36079,-19.65210,141.70758
6.510,-6.53390,-19.68846,140.49066
6.582,-7.09054,-19.95475,139.62192
6.670,-7.77111,-20.33487,138.89850
6.739,-8.08949,-20.54008,138.32440
6.830,-8.00563,-20.87702,137.85400
6.897,-7.58334,-21.23447,137.60884
6.991,-7.22944,-21.47450,137.45248
7.055,-6.62990,-21.55459,137.23553
7.144,-5.48960,-21.93010,137.17679
7.223,-4.53713,-22.32707,137.27902
7.305,-3.36176,-22.37757,137.40060
7.373,-2.71368,-22.51462,137.67519
7.465,-2.15031,-22.85040,138.14790
7.536,-1.77521,-22.78392,138.45801
7.632,-1.80772,-22.62459,138.53682
7.696,-1.81451,-22.72179,138.27293
7.777,-2.11157,-22.75554,138.03465
7.857,-2.22575,-22.79957,137.90846
7.947,-2.15288,-23.20308,137.87531
8.010,-2.02391,-23.59002,137.94304
8.094,-2.54807,-25.62536,137.98544
8.168,-3.45755,-27.17959,137.59755
8.257,-3.87229,-27.71322,137.36137
8.326,-3.84789,-27.47261,137.02858
8.485,-4.12057,-27.58536,136.87112
8.574,-4.25044,-27.42750,136.75697
8.644,-4.38905,-27.74731,136.67076
8.729,-4.36114,-27.78826,136.84795
8.803,-5.73033,-27.87964,137.01073
8.903,-3.86808,-26.75842,137.56444
8.961,-3.58183,-26.47602,138.00433
9.047,-4.11192,-26.71539,137.90379
9.131,-4.41479,-26.61463,138.15781
9.205,-4.23364,-26.47597,138.15877
9.287,-4.13974,-26.64685,138.08252
9.366,-3.60796,-26.72679,137.65775
9.438,-3.87665,-26.91184,137.69524
9.531,-3.52230,-26.75414,137.82596
9.601,-3.73193,-26.72649,137.82611
9.680,-2.73489,-26.03832,137.91956
9.756,-2.26681,-25.90446,137.58775
9.845,-3.67398,-26.90422,134.27972
9.916,-2.72487,-25.60500,135.47636
10.000,-3.00959,-23.71389,136.82674
10.076,-12.81908,-20.73553,135.18712
10.170,-35.99748,-14.63910,128.24631
10.239,-33.69133,12.88415,127.92210
10.319,-33.70940,33.84836,132.21913
277.841,-14.18806,-7.11196,121.72083
277.920,-14.61637,-8.24605,121.83698
277.999,-9.05694,-5.94849,125.66932
278.088,-6.57443,-7.28169,130.68346
278.159,-4.34633,-7.29349,134.31290
278.240,-5.26463,-13.51303,133.97401
278.316,-7.12457,-17.67491,131.59003
278.398,-8.17011,-17.73670,132.29161
278.480,-10.24101,-14.94147,130.08720
278.563,-4.84992,-8.93987,129.73833
278.641,-3.10858,-4.08706,129.79822
278.717,-0.05471,-2.09559,130.52213
278.797,0.79660,-1.35164,132.07512
278.877,-0.88806,-5.06696,132.71573
278.954,-1.30994,-9.83462,132.30457
279.034,-2.67982,-11.81699,134.47546
279.114,-5.20404,-12.15628,135.04788
279.194,-6.44397,-10.24837,137.41937
279.272,-4.76566,-10.52457,139.49051
279.367,-4.91624,-10.86730,137.52538
279.430,-6.33341,-11.43218,135.24477
279.509,-6.86267,-10.97896,133.97664
279.588,-7.69870,-7.80550,132.40797
279.674,-7.50958,-8.31343,129.00453
279.745,-3.31768,-10.10409,127.18110
279.826,-0.42811,-15.21099,126.39762
279.904,1.98398,-17.28450,127.93294
279.988,0.49591,-17.79929,128.10413
280.064,-4.31924,-16.46440,133.75745
280.143,-7.68017,-12.60117,137.22252
280.222,-8.01873,-11.20105,138.45645
280.304,-5.23901,-11.08727,142.78705
280.381,-3.71412,-10.93514,146.41714
280.463,-3.79477,-9.54640,145.20554
280.540,-4.29394,-10.04819,142.61603
280.627,-4.15240,-9.89732,140.23395
280.698,-4.40375,-11.59962,137.70650
280.780,-4.84792,-11.03216,137.11711
280.857,-5.40124,-9.37329,137.24046
280.939,-3.71490,-10.01715,136.38118
281.017,-4.21858,-13.65779,134.67738
281.096,-3.01031,-13.89995,135.68393
281.176,0.26589,-15.14363,136.02074
281.258,-0.89082,-15.22140,137.16017
281.334,0.02432,-14.00121,139.41211
281.420,0.99304,-14.71409,140.95047
281.494,-0.10760,-14.02116,140.15068
281.580,-0.61672,-15.28675,137.14517
281.652,-1.16303,-15.49783,136.52411
281.737,-3.44752,-16.46115,135.00098
281.810,-5.96969,-15.35183,134.59830
281.896,-8.42379,-15.37656,134.35367
281.969,-7.58303,-13.96353,134.54111
282.051,-6.33995,-12.31896,135.71991
282.128,-6.67118,-11.45585,140.83031
