Timestamp, Data Source, Data, Display Value, Raw Value,
2017-03-20T23:40:33Z, Altimeter (Barometer), Relative Altitude, -0.199462890625 Meters,-0.199462891,
2017-03-20T23:40:33Z, Altimeter (Barometer), Pressure, 101.088714599609 kPa,101.0887146,
2017-03-20T23:40:34Z, Acceleration (via Gravity), x,0.072993457,0.072993457,
2017-03-20T23:40:34Z, Acceleration (via Gravity), y,0.996234536,0.996234536,
2017-03-20T23:40:34Z, Acceleration (via Gravity), z,0.046783321,0.046783321,
2017-03-20T23:40:34Z, Acceleration (via User), x,0.101872265,0.101872265,
2017-03-20T23:40:34Z, Acceleration (via User), y,-0.061160695,-0.061160695,
2017-03-20T23:40:34Z, Acceleration (via User), z,0.044799931,0.044799931,
2017-03-20T23:40:34Z, Altimeter (Barometer), Relative Altitude, -0.29969596862793 Meters,-0.299695969,
2017-03-20T23:40:34Z, Altimeter (Barometer), Pressure, 101.089912414551 kPa,101.0899124,
2017-03-20T23:40:35Z, Altimeter (Barometer), Relative Altitude, -0.801351547241211 Meters,-0.801351547,
2017-03-20T23:40:35Z, Altimeter (Barometer), Pressure, 101.095932006836 kPa,101.095932,
2017-03-20T23:40:35Z, Magnetometer (raw), x,25.3807373,25.3807373,
2017-03-20T23:40:35Z, Magnetometer (raw), y,30.74710083,30.74710083,
2017-03-20T23:40:35Z, Magnetometer (raw), z,-386.609375,-386.609375,
2017-03-20T23:40:36Z, Gyrometer (raw), x,-0.366936993,-0.366936993,
2017-03-20T23:40:36Z, Gyrometer (raw), y,0.216614865,0.216614865,
2017-03-20T23:40:36Z, Gyrometer (raw), z,-1.516016435,-1.516016435,
2017-03-20T23:40:36Z, Microphone, Left Channel Level, -8.899612 dB,-8.89961,
2017-03-20T23:40:36Z, Microphone, Right Channel Level, -8.899612 dB,-8.89961,
2017-03-20T23:40:36Z, GPS, Enabled, Yes, true,
2017-03-20T23:40:36Z, GPS, Authorisation Status, Authorised When In Use, Authorised When In Use,
2017-03-20T23:40:36Z, GPS, Latitude,40.75288758,40.75288758,
2017-03-20T23:40:36Z, GPS, Longitude,-73.99286739,-73.99286739,
2017-03-20T23:40:36Z, GPS, Altitude, 18.39690399169922 Meters,18.39690399,
2017-03-20T23:40:36Z, GPS, Floor, No Data, NULL,
2017-03-20T23:40:36Z, GPS, Horizontal Accuracy, 65 Meters,65,
2017-03-20T23:40:36Z, GPS, Vertical Accuracy, 10 Meters,10,
2017-03-20T23:40:36Z, Altimeter (Barometer), Relative Altitude, -0.83660888671875 Meters,-0.836608887,
2017-03-20T23:40:36Z, Altimeter (Barometer), Pressure, 101.096351623535 kPa,101.0963516,
2017-03-20T23:40:37Z, Altimeter (Barometer), Relative Altitude, -0.83660888671875 Meters,-0.836608887,
2017-03-20T23:40:37Z, Altimeter (Barometer), Pressure, 101.096351623535 kPa,101.0963516,
2017-03-20T23:40:38Z, Acceleration (via Gravity), x,0.174134329,0.174134329,
2017-03-20T23:40:38Z, Acceleration (via Gravity), y,0.984250665,0.984250665,
2017-03-20T23:40:38Z, Acceleration (via Gravity), z,-0.030460389,-0.030460389,
2017-03-20T23:40:38Z, Acceleration (via User), x,-0.039445002,-0.039445002,
2017-03-20T23:40:38Z, Acceleration (via User), y,0.018862113,0.018862113,
2017-03-20T23:40:38Z, Acceleration (via User), z,-0.022930114,-0.022930114,
2017-03-20T23:40:38Z, Altimeter (Barometer), Relative Altitude, -0.464399337768555 Meters,-0.464399338,
2017-03-20T23:40:38Z, Altimeter (Barometer), Pressure, 101.091888427734 kPa,101.0918884,
2017-03-20T23:40:39Z, Altimeter (Barometer), Relative Altitude, -0.443748474121094 Meters,-0.443748474,
2017-03-20T23:40:39Z, Altimeter (Barometer), Pressure, 101.091644287109 kPa,101.0916443,
2017-03-20T23:40:40Z, Altimeter (Barometer), Relative Altitude, -0.336969375610352 Meters,-0.336969376,
2017-03-20T23:40:40Z, Altimeter (Barometer), Pressure, 101.090362548828 kPa,101.0903625,
2017-03-20T23:40:40Z, Magnetometer (raw), x,29.05586243,29.05586243,
2017-03-20T23:40:40Z, Magnetometer (raw), y,30.86621094,30.86621094,
2017-03-20T23:40:40Z, Magnetometer (raw), z,-401.3049011,-401.3049011,
2017-03-20T23:40:41Z, Gyrometer (raw), x,0.965101616,0.965101616,
2017-03-20T23:40:41Z, Gyrometer (raw), y,-0.100746052,-0.100746052,
2017-03-20T23:40:41Z, Gyrometer (raw), z,0.932176955,0.932176955,
2017-03-20T23:40:41Z, Microphone, Left Channel Level, -5.525158 dB,-5.52516,
2017-03-20T23:40:41Z, Microphone, Right Channel Level, -5.525158 dB,-5.52516,
2017-03-20T23:40:41Z, Altimeter (Barometer), Relative Altitude, -0.336969375610352 Meters,-0.336969376,
2017-03-20T23:40:41Z, Altimeter (Barometer), Pressure, 101.090362548828 kPa,101.0903625,
2017-03-20T23:40:42Z, Altimeter (Barometer), Relative Altitude, -0.513256072998047 Meters,-0.513256073,
2017-03-20T23:40:42Z, Altimeter (Barometer), Pressure, 101.092475891113 kPa,101.0924759,
2017-03-20T23:40:42Z, GPS, Enabled, Yes, true,
2017-03-20T23:40:42Z, GPS, Authorisation Status, Authorised When In Use, Authorised When In Use,
2017-03-20T23:40:42Z, GPS, Latitude,40.75279504,40.75279504,
2017-03-20T23:40:42Z, GPS, Longitude,-73.99293294,-73.99293294,
2017-03-20T23:40:42Z, GPS, Altitude, 18.87123870849609 Meters,18.87123871,
2017-03-20T23:40:42Z, GPS, Floor, No Data, NULL,
2017-03-20T23:40:42Z, GPS, Horizontal Accuracy, 65 Meters,65,
2017-03-20T23:40:42Z, GPS, Vertical Accuracy, 10 Meters,10,
2017-03-20T23:40:43Z, Acceleration (via Gravity), x,0.362096876,0.362096876,
2017-03-20T23:40:43Z, Acceleration (via Gravity), y,0.893758535,0.893758535,
2017-03-20T23:40:43Z, Acceleration (via Gravity), z,0.264729083,0.264729083,
2017-03-20T23:40:43Z, Acceleration (via User), x,0.209451586,0.209451586,
2017-03-20T23:40:43Z, Acceleration (via User), y,0.164743632,0.164743632,
2017-03-20T23:40:43Z, Acceleration (via User), z,0.093821928,0.093821928,
2017-03-20T23:40:43Z, Altimeter (Barometer), Relative Altitude, -0.567651748657227 Meters,-0.567651749,
2017-03-20T23:40:43Z, Altimeter (Barometer), Pressure, 101.093124389648 kPa,101.0931244,
2017-03-20T23:40:44Z, Altimeter (Barometer), Relative Altitude, -0.625574111938477 Meters,-0.625574112,
2017-03-20T23:40:44Z, Altimeter (Barometer), Pressure, 101.093818664551 kPa,101.0938187,
2017-03-20T23:40:45Z, Altimeter (Barometer), Relative Altitude, -0.684000015258789 Meters,-0.684000015,
2017-03-20T23:40:45Z, Altimeter (Barometer), Pressure, 101.094520568848 kPa,101.0945206,
2017-03-20T23:40:45Z, Magnetometer (raw), x,31.61676025,31.61676025,
2017-03-20T23:40:45Z, Magnetometer (raw), y,41.75909424,41.75909424,
2017-03-20T23:40:45Z, Magnetometer (raw), z,-385.8510742,-385.8510742,
2017-03-20T23:40:46Z, Gyrometer (raw), x,1.256363821,1.256363821,
2017-03-20T23:40:46Z, Gyrometer (raw), y,1.242160118,1.242160118,
2017-03-20T23:40:46Z, Gyrometer (raw), z,0.229750641,0.229750641,
2017-03-20T23:40:46Z, Microphone, Left Channel Level, -3.968803 dB,-3.9688,
2017-03-20T23:40:46Z, Microphone, Right Channel Level, -3.968803 dB,-3.9688,
2017-03-20T23:40:46Z, Altimeter (Barometer), Relative Altitude, -0.684000015258789 Meters,-0.684000015,
2017-03-20T23:40:46Z, Altimeter (Barometer), Pressure, 101.094520568848 kPa,101.0945206,
2017-03-20T23:40:47Z, Altimeter (Barometer), Relative Altitude, -0.0755558013916016 Meters,-0.075555801,
2017-03-20T23:40:47Z, Altimeter (Barometer), Pressure, 101.087226867676 kPa,101.0872269,
2017-03-20T23:40:47Z, Acceleration (via Gravity), x,0.299512714,0.299512714,
2017-03-20T23:40:47Z, Acceleration (via Gravity), y,0.936914861,0.936914861,
2017-03-20T23:40:47Z, Acceleration (via Gravity), z,-0.180229425,-0.180229425,
2017-03-20T23:40:47Z, Acceleration (via User), x,-0.159482807,-0.159482807,
2017-03-20T23:40:47Z, Acceleration (via User), y,-0.041330773,-0.041330773,
2017-03-20T23:40:47Z, Acceleration (via User), z,0.101280443,0.101280443,
2017-03-20T23:40:48Z, Altimeter (Barometer), Relative Altitude, -0.0755558013916016 Meters,-0.075555801,
2017-03-20T23:40:48Z, Altimeter (Barometer), Pressure, 101.087226867676 kPa,101.0872269,
2017-03-20T23:40:48Z, Altimeter (Barometer), Relative Altitude, -0.35711669921875 Meters,-0.357116699,
2017-03-20T23:40:48Z, Altimeter (Barometer), Pressure, 101.090599060059 kPa,101.0905991,
2017-03-20T23:40:49Z, GPS, Enabled, Yes, true,
2017-03-20T23:40:49Z, GPS, Authorisation Status, Authorised When In Use, Authorised When In Use,
2017-03-20T23:40:49Z, GPS, Latitude,40.75287982,40.75287982,
2017-03-20T23:40:49Z, GPS, Longitude,-73.99283337,-73.99283337,
2017-03-20T23:40:49Z, GPS, Altitude, 19.12644004821777 Meters,19.12644005,
2017-03-20T23:40:49Z, GPS, Floor, No Data, NULL,
2017-03-20T23:40:49Z, GPS, Horizontal Accuracy, 65 Meters,65,
2017-03-20T23:40:49Z, GPS, Vertical Accuracy, 10 Meters,10,
2017-03-20T23:40:49Z, Altimeter (Barometer), Relative Altitude, -0.35711669921875 Meters,-0.357116699,
2017-03-20T23:40:49Z, Altimeter (Barometer), Pressure, 101.090599060059 kPa,101.0905991,
2017-03-20T23:40:50Z, Altimeter (Barometer), Relative Altitude, -0.342004776000977 Meters,-0.342004776,
2017-03-20T23:40:50Z, Altimeter (Barometer), Pressure, 101.090423583984 kPa,101.0904236,
2017-03-20T23:40:50Z, Magnetometer (raw), x,46.29867554,46.29867554,
2017-03-20T23:40:50Z, Magnetometer (raw), y,23.67987061,23.67987061,
2017-03-20T23:40:50Z, Magnetometer (raw), z,-383.7879333,-383.7879333,
2017-03-20T23:40:51Z, Gyrometer (raw), x,0.35234287,0.35234287,
2017-03-20T23:40:51Z, Gyrometer (raw), y,0.610495858,0.610495858,
2017-03-20T23:40:51Z, Gyrometer (raw), z,0.449482204,0.449482204,
2017-03-20T23:40:51Z, Microphone, Left Channel Level, -4.183673 dB,-4.18367,
2017-03-20T23:40:51Z, Microphone, Right Channel Level, -4.183673 dB,-4.18367,
2017-03-20T23:40:51Z, Altimeter (Barometer), Relative Altitude, -0.282571792602539 Meters,-0.282571793,
