Timestamp, Data Source, Data, Display Value, Raw Value,
2017-03-21T12:10:55Z, Altimeter (Barometer), Relative Altitude, -1.23485565185547 Meters,-1.234855652,
2017-03-21T12:10:55Z, Altimeter (Barometer), Pressure, 100.707817077637 kPa,100.7078171,
2017-03-21T12:10:56Z, Altimeter (Barometer), Relative Altitude, 0.105606079101562 Meters,0.105606079,
2017-03-21T12:10:56Z, Altimeter (Barometer), Pressure, 100.691795349121 kPa,100.6917953,
2017-03-21T12:10:56Z, Gyrometer (raw), x,-1.668871495,-1.668871495,
2017-03-21T12:10:56Z, Gyrometer (raw), y,1.40502893,1.40502893,
2017-03-21T12:10:56Z, Gyrometer (raw), z,-0.75571457,-0.75571457,
2017-03-21T12:10:56Z, Microphone, Left Channel Level, -6.787825 dB,-6.78782,
2017-03-21T12:10:56Z, Microphone, Right Channel Level, -6.787825 dB,-6.78782,
2017-03-21T12:10:57Z, Altimeter (Barometer), Relative Altitude, 0.851448059082031 Meters,0.851448059,
2017-03-21T12:10:57Z, Altimeter (Barometer), Pressure, 100.682884216309 kPa,100.6828842,
2017-03-21T12:10:58Z, Altimeter (Barometer), Relative Altitude, 0.851448059082031 Meters,0.851448059,
2017-03-21T12:10:58Z, Altimeter (Barometer), Pressure, 100.682884216309 kPa,100.6828842,
2017-03-21T12:10:58Z, Acceleration (via Gravity), x,0.079365276,0.079365276,
2017-03-21T12:10:58Z, Acceleration (via Gravity), y,0.996780038,0.996780038,
2017-03-21T12:10:58Z, Acceleration (via Gravity), z,0.011434792,0.011434792,
2017-03-21T12:10:58Z, Acceleration (via User), x,0.033687092,0.033687092,
2017-03-21T12:10:58Z, Acceleration (via User), y,0.070892714,0.070892714,
2017-03-21T12:10:58Z, Acceleration (via User), z,0.05712295,0.05712295,
2017-03-21T12:10:59Z, Altimeter (Barometer), Relative Altitude, 0.392616271972656 Meters,0.392616272,
2017-03-21T12:10:59Z, Altimeter (Barometer), Pressure, 100.688369750977 kPa,100.6883698,
2017-03-21T12:10:59Z, Magnetometer (raw), x,79.09950256,79.09950256,
2017-03-21T12:10:59Z, Magnetometer (raw), y,49.49543762,49.49543762,
2017-03-21T12:10:59Z, Magnetometer (raw), z,-358.8994446,-358.8994446,
2017-03-21T12:11:00Z, Altimeter (Barometer), Relative Altitude, 0.311260223388672 Meters,0.311260223,
2017-03-21T12:11:00Z, Altimeter (Barometer), Pressure, 100.689338684082 kPa,100.6893387,
2017-03-21T12:11:01Z, Altimeter (Barometer), Relative Altitude, 0.00353622436523438 Meters,0.003536224,
2017-03-21T12:11:01Z, Altimeter (Barometer), Pressure, 100.693016052246 kPa,100.6930161,
2017-03-21T12:11:01Z, Microphone, Left Channel Level, -2.824985 dB,-2.82498,
2017-03-21T12:11:01Z, Microphone, Right Channel Level, -2.824985 dB,-2.82498,
2017-03-21T12:11:01Z, Gyrometer (raw), x,1.186479811,1.186479811,
2017-03-21T12:11:01Z, Gyrometer (raw), y,0.061843394,0.061843394,
2017-03-21T12:11:01Z, Gyrometer (raw), z,0.807854737,0.807854737,
2017-03-21T12:11:01Z, GPS, Enabled, Yes, true,
2017-03-21T12:11:01Z, GPS, Authorisation Status, Authorised When In Use, Authorised When In Use,
2017-03-21T12:11:01Z, GPS, Latitude,40.69156453,40.69156453,
2017-03-21T12:11:01Z, GPS, Longitude,-73.98908663,-73.98908663,
2017-03-21T12:11:01Z, GPS, Altitude, 51.01877975463867 Meters,51.01877975,
2017-03-21T12:11:01Z, GPS, Floor, No Data, NULL,
2017-03-21T12:11:01Z, GPS, Horizontal Accuracy,1,414 Meters,1414
2017-03-21T12:11:01Z, GPS, Vertical Accuracy, 10 Meters,10,
2017-03-21T12:11:01Z, GPS, Enabled, Yes, true,
2017-03-21T12:11:01Z, GPS, Authorisation Status, Authorised When In Use, Authorised When In Use,
2017-03-21T12:11:01Z, GPS, Latitude,40.69157789,40.69157789,
2017-03-21T12:11:01Z, GPS, Longitude,-73.98945389,-73.98945389,
2017-03-21T12:11:01Z, GPS, Altitude, 51.01877975463867 Meters,51.01877975,
2017-03-21T12:11:01Z, GPS, Floor, No Data, NULL,
2017-03-21T12:11:01Z, GPS, Horizontal Accuracy,1,414.000123900934 Meters,1414.000124
2017-03-21T12:11:01Z, GPS, Vertical Accuracy, 10 Meters,10,
2017-03-21T12:11:01Z, GPS, Enabled, Yes, true,
2017-03-21T12:11:01Z, GPS, Authorisation Status, Authorised When In Use, Authorised When In Use,
2017-03-21T12:11:01Z, GPS, Latitude,40.6915868,40.6915868,
2017-03-21T12:11:01Z, GPS, Longitude,-73.98969875,-73.98969875,
2017-03-21T12:11:01Z, GPS, Altitude, 51.01877975463867 Meters,51.01877975,
2017-03-21T12:11:01Z, GPS, Floor, No Data, NULL,
2017-03-21T12:11:01Z, GPS, Horizontal Accuracy,1,414.000196828173 Meters,1414.000197
2017-03-21T12:11:01Z, GPS, Vertical Accuracy, 10 Meters,10,
2017-03-21T12:11:02Z, Altimeter (Barometer), Relative Altitude, 0.00353622436523438 Meters,0.003536224,
2017-03-21T12:11:02Z, Altimeter (Barometer), Pressure, 100.693016052246 kPa,100.6930161,
2017-03-21T12:11:03Z, Altimeter (Barometer), Relative Altitude, 0.168766021728516 Meters,0.168766022,
2017-03-21T12:11:03Z, Altimeter (Barometer), Pressure, 100.691040039062 kPa,100.69104,
2017-03-21T12:11:03Z, Acceleration (via Gravity), x,0.282792985,0.282792985,
2017-03-21T12:11:03Z, Acceleration (via Gravity), y,0.943912983,0.943912983,
2017-03-21T12:11:03Z, Acceleration (via Gravity), z,-0.17045927,-0.17045927,
2017-03-21T12:11:03Z, Acceleration (via User), x,-0.155855104,-0.155855104,
2017-03-21T12:11:03Z, Acceleration (via User), y,0.332622021,0.332622021,
2017-03-21T12:11:03Z, Acceleration (via User), z,0.254092693,0.254092693,
2017-03-21T12:11:04Z, Altimeter (Barometer), Relative Altitude, 0.243549346923828 Meters,0.243549347,
2017-03-21T12:11:04Z, Altimeter (Barometer), Pressure, 100.690147399902 kPa,100.6901474,
2017-03-21T12:11:04Z, Magnetometer (raw), x,56.14717102,56.14717102,
2017-03-21T12:11:04Z, Magnetometer (raw), y,47.17715454,47.17715454,
2017-03-21T12:11:04Z, Magnetometer (raw), z,-381.3636169,-381.3636169,
2017-03-21T12:11:04Z, Altimeter (Barometer), Relative Altitude, 0.243549346923828 Meters,0.243549347,
2017-03-21T12:11:04Z, Altimeter (Barometer), Pressure, 100.690147399902 kPa,100.6901474,
2017-03-21T12:11:05Z, Altimeter (Barometer), Relative Altitude, 0.243549346923828 Meters,0.243549347,
2017-03-21T12:11:05Z, Altimeter (Barometer), Pressure, 100.690147399902 kPa,100.6901474,
2017-03-21T12:11:06Z, Gyrometer (raw), x,0.101167897,0.101167897,
2017-03-21T12:11:06Z, Gyrometer (raw), y,0.029794115,0.029794115,
2017-03-21T12:11:06Z, Gyrometer (raw), z,0.103835053,0.103835053,
2017-03-21T12:11:06Z, Microphone, Left Channel Level, -15.62709 dB,-15.6271,
2017-03-21T12:11:06Z, Microphone, Right Channel Level, -15.62709 dB,-15.6271,
2017-03-21T12:11:06Z, Altimeter (Barometer), Relative Altitude, 0.279933929443359 Meters,0.279933929,
2017-03-21T12:11:06Z, Altimeter (Barometer), Pressure, 100.689712524414 kPa,100.6897125,
2017-03-21T12:11:07Z, Acceleration (via Gravity), x,0.323495984,0.323495984,
2017-03-21T12:11:07Z, Acceleration (via Gravity), y,0.944591761,0.944591761,
2017-03-21T12:11:07Z, Acceleration (via Gravity), z,0.055648275,0.055648275,
2017-03-21T12:11:07Z, Acceleration (via User), x,-0.062875867,-0.062875867,
2017-03-21T12:11:07Z, Acceleration (via User), y,-0.043239843,-0.043239843,
2017-03-21T12:11:07Z, Acceleration (via User), z,0.081039958,0.081039958,
2017-03-21T12:11:07Z, Altimeter (Barometer), Relative Altitude, 0.279933929443359 Meters,0.279933929,
2017-03-21T12:11:07Z, Altimeter (Barometer), Pressure, 100.689712524414 kPa,100.6897125,
2017-03-21T12:11:08Z, Altimeter (Barometer), Relative Altitude, 0.152091979980469 Meters,0.15209198,
2017-03-21T12:11:08Z, Altimeter (Barometer), Pressure, 100.69123840332 kPa,100.6912384,
2017-03-21T12:11:09Z, Magnetometer (raw), x,40.53523254,40.53523254,
2017-03-21T12:11:09Z, Magnetometer (raw), y,35.24102783,35.24102783,
2017-03-21T12:11:09Z, Magnetometer (raw), z,-371.3377686,-371.3377686,
2017-03-21T12:11:09Z, Altimeter (Barometer), Relative Altitude, -0.361278533935547 Meters,-0.361278534,
2017-03-21T12:11:09Z, Altimeter (Barometer), Pressure, 100.697372436523 kPa,100.6973724,
2017-03-21T12:11:10Z, Altimeter (Barometer), Relative Altitude, -0.511341094970703 Meters,-0.511341095,
2017-03-21T12:11:10Z, Altimeter (Barometer), Pressure, 100.699172973633 kPa,100.699173,
2017-03-21T12:11:11Z, Altimeter (Barometer), Relative Altitude, -0.511341094970703 Meters,-0.511341095,
2017-03-21T12:11:11Z, Altimeter (Barometer), Pressure, 100.699172973633 kPa,100.699173,
2017-03-21T12:11:11Z, Gyrometer (raw), x,0.042869437,0.042869437,
2017-03-21T12:11:11Z, Gyrometer (raw), y,-0.660891121,-0.660891121,
2017-03-21T12:11:11Z, Gyrometer (raw), z,-0.397766811,-0.397766811,
2017-03-21T12:11:11Z, Microphone, Left Channel Level, -8.687656 dB,-8.68766,
2017-03-21T12:11:11Z, Microphone, Right Channel Level, -8.687656 dB,-8.68766,
2017-03-21T12:11:12Z, Acceleration (via Gravity), x,0.261454701,0.261454701,
2017-03-21T12:11:12Z, Acceleration (via Gravity), y,0.962063253,0.962063253,
2017-03-21T12:11:12Z, Acceleration (via Gravity), z,-0.077946819,-0.077946819,
2017-03-21T12:11:12Z, Acceleration (via User), x,-0.000178469,-0.000178469,
2017-03-21T12:11:12Z, Acceleration (via User), y,0.106555507,0.106555507,
2017-03-21T12:11:12Z, Acceleration (via User), z,0.036687057,0.036687057,
2017-03-21T12:11:12Z, Altimeter (Barometer), Relative Altitude, 0.0697288513183594 Meters,0.069728851,
2017-03-21T12:11:12Z, Altimeter (Barometer), Pressure, 100.692230224609 kPa,100.6922302,
