Timestamp, Data Source, Data, Display Value, Raw Value
"2017-03-15T09:05:43Z", GPS, Enabled, Yes, true
"2017-03-15T09:05:43Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-15T09:05:43Z", GPS, Latitude, 40.72368033981927, 40.7236803398193
"2017-03-15T09:05:43Z", GPS, Longitude, -73.99065494964553, -73.9906549496455
"2017-03-15T09:05:43Z", GPS, Altitude, 12.13222408294678 Meters, 12.1322240829468
"2017-03-15T09:05:43Z", GPS, Floor, No Data, NULL
"2017-03-15T09:05:43Z", GPS, Horizontal Accuracy, 65 Meters, 65.0
"2017-03-15T09:05:43Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2017-03-15T09:05:43Z", Microphone, Left Channel Level, Permission Denied dB, Permission Denied
"2017-03-15T09:05:43Z", Microphone, Right Channel Level, Permission Denied dB, Permission Denied
"2017-03-15T09:05:43Z", Cell Radio, Radio Access Technology, 4G (LTE), 4G (LTE)
"2017-03-15T09:05:43Z", Cell Radio, Carrier, AT&T, AT&T
"2017-03-15T09:05:43Z", Proximity, Active, No, false
"2017-03-15T09:05:43Z", Device Orientation, Screen Orientation, Unknown, NULL
"2017-03-15T09:05:43Z", Device Orientation, Screen Face Direction, Up, Up
"2017-03-15T09:05:43Z", Cell Radio, Radio Access Technology, 4G (LTE), 4G (LTE)
"2017-03-15T09:05:43Z", Cell Radio, Carrier, AT&T, AT&T
"2017-03-15T09:05:43Z", Magnetometer (raw), x, 71.84147644042969, 71.8414764404297
"2017-03-15T09:05:43Z", Magnetometer (raw), y, 399.7235717773438, 399.723571777344
"2017-03-15T09:05:43Z", Magnetometer (raw), z, -436.2747192382812, -436.274719238281
"2017-03-15T09:05:43Z", Accelerometer (raw), x, 0.034515380859375, 0.034515380859375
"2017-03-15T09:05:43Z", Accelerometer (raw), y, -0.242706298828125, -0.242706298828125
"2017-03-15T09:05:43Z", Accelerometer (raw), z, -0.9506072998046875, -0.950607299804688
"2017-03-15T09:05:43Z", Gyrometer (raw), x, -0.02265817455439416, -0.0226581745543942
"2017-03-15T09:05:43Z", Gyrometer (raw), y, -0.2772981863950836, -0.277298186395084
"2017-03-15T09:05:43Z", Gyrometer (raw), z, -0.3338259110608875, -0.333825911060887
"2017-03-15T09:05:43Z", Attitude, Roll, 0.03545916586707078, 0.0354591658670708
"2017-03-15T09:05:43Z", Attitude, Yaw, -0.006273486683773063, -0.00627348668377306
"2017-03-15T09:05:43Z", Attitude, Pitch, 0.249577785744207, 0.249577785744207
"2017-03-15T09:05:43Z", Attitude, Quarternion w, 0.9920700630048703, 0.99207006300487
"2017-03-15T09:05:43Z", Attitude, Quarternion x, 0.1245002745322249, 0.124500274532225
"2017-03-15T09:05:43Z", Attitude, Quarternion y, 0.01720035531497146, 0.0172003553149715
"2017-03-15T09:05:43Z", Attitude, Quarternion z, -0.00090526678512279, -0.00090526678512279
"2017-03-15T09:05:43Z", Gyrometer (smooth), x, -0.03661292046308517, -0.0366129204630852
"2017-03-15T09:05:43Z", Gyrometer (smooth), y, -0.2540278732776642, -0.254027873277664
"2017-03-15T09:05:43Z", Gyrometer (smooth), z, -0.3373688757419586, -0.337368875741959
"2017-03-15T09:05:43Z", Acceleration (via User), x, -0.01102263852953911, -0.0110226385295391
"2017-03-15T09:05:43Z", Acceleration (via User), y, 0.009583349339663982, 0.00958334933966398
"2017-03-15T09:05:43Z", Acceleration (via User), z, 0.01329901628196239, 0.0132990162819624
"2017-03-15T09:05:43Z", Acceleration (via Gravity), x, 0.03435332700610161, 0.0343533270061016
"2017-03-15T09:05:43Z", Acceleration (via Gravity), y, -0.2469948530197144, -0.246994853019714
"2017-03-15T09:05:43Z", Acceleration (via Gravity), z, -0.9684076309204102, -0.96840763092041
"2017-03-15T09:05:43Z", Acceleration (total), x, 0.0233306884765625, 0.0233306884765625
"2017-03-15T09:05:43Z", Acceleration (total), y, -0.2374115036800504, -0.23741150368005
"2017-03-15T09:05:43Z", Acceleration (total), z, -0.9551086146384478, -0.955108614638448
"2017-03-15T09:05:43Z", Magnetometer (corrected for device), x, 0, 0.0
"2017-03-15T09:05:43Z", Magnetometer (corrected for device), y, 0, 0.0
"2017-03-15T09:05:43Z", Magnetometer (corrected for device), z, 0, 0.0
"2017-03-15T09:05:43Z", Magnetometer (corrected for device), Estimated Accuracy, Uncalibrated, Uncalibrated
"2017-03-15T09:05:43Z", GPS, Enabled, Yes, true
"2017-03-15T09:05:43Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-15T09:05:43Z", GPS, Latitude, 40.72369241004624, 40.7236924100462
"2017-03-15T09:05:43Z", GPS, Longitude, -73.99066171453528, -73.9906617145353
"2017-03-15T09:05:43Z", GPS, Altitude, 12.13222408294678 Meters, 12.1322240829468
"2017-03-15T09:05:43Z", GPS, Floor, No Data, NULL
"2017-03-15T09:05:43Z", GPS, Horizontal Accuracy, 67.51911127053557 Meters, 67.5191112705356
"2017-03-15T09:05:43Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2017-03-15T09:05:44Z", Attitude, Roll, 0.002221655452732888, 0.00222165545273289
"2017-03-15T09:05:44Z", Attitude, Yaw, -0.03895304518679134, -0.0389530451867913
"2017-03-15T09:05:44Z", Attitude, Pitch, 0.2125476123230171, 0.212547612323017
"2017-03-15T09:05:44Z", Attitude, Quarternion w, 0.9941713418932645, 0.994171341893265
"2017-03-15T09:05:44Z", Attitude, Quarternion x, 0.1060752022895773, 0.106075202289577
"2017-03-15T09:05:44Z", Attitude, Quarternion y, -0.0009614673245858824, -0.000961467324585882
"2017-03-15T09:05:44Z", Attitude, Quarternion z, -0.01924759719952815, -0.0192475971995281
"2017-03-15T09:05:44Z", Gyrometer (smooth), x, -0.05765786021947861, -0.0576578602194786
"2017-03-15T09:05:44Z", Gyrometer (smooth), y, -0.08136129379272461, -0.0813612937927246
"2017-03-15T09:05:44Z", Gyrometer (smooth), z, 0.1230720207095146, 0.123072020709515
"2017-03-15T09:05:44Z", Acceleration (via User), x, -0.007619046606123447, -0.00761904660612345
"2017-03-15T09:05:44Z", Acceleration (via User), y, 0.02792168967425823, 0.0279216896742582
"2017-03-15T09:05:44Z", Acceleration (via User), z, 0.0247202068567276, 0.0247202068567276
"2017-03-15T09:05:44Z", Acceleration (via Gravity), x, 0.002171658910810947, 0.00217165891081095
"2017-03-15T09:05:44Z", Acceleration (via Gravity), y, -0.2109508663415909, -0.210950866341591
"2017-03-15T09:05:44Z", Acceleration (via Gravity), z, -0.9774942398071289, -0.977494239807129
"2017-03-15T09:05:44Z", Acceleration (total), x, -0.0054473876953125, -0.0054473876953125
"2017-03-15T09:05:44Z", Acceleration (total), y, -0.1830291766673326, -0.183029176667333
"2017-03-15T09:05:44Z", Acceleration (total), z, -0.9527740329504013, -0.952774032950401
"2017-03-15T09:05:44Z", Magnetometer (corrected for device), x, -15.93853759765625, -15.9385375976562
"2017-03-15T09:05:44Z", Magnetometer (corrected for device), y, 30.14315795898438, 30.1431579589844
